CustomerID,CustomerName,Gender,Email,City,State,Age,Phone,JoinDate,LoyaltyPoints
CUST0001,Noah Shah,Male,noah.shah@hotmail.com,Panipat,Rajasthan,28,9446525946,04-02-2024 10:12,85
CUST0002,Mitesh Dyal,Male,mitesh.dyal@hotmail.com,Parbhani,Chhattisgarh,58,9938231998,03-11-2024 07:55,3068
CUST0003,Dalaja Mahajan,Female,dalaja.mahajan@yahoo.com,Kollam,Tamil Nadu,23,9256307262,07-01-2024 02:28,2021
CUST0004,Maya Grewal,Female,maya.grewal@yahoo.com,Anantapur,Bihar,61,9259778403,07-08-2021 11:30,1565
CUST0005,Rushil Memon,Male,rushil.memon@hotmail.com,Bongaigaon,Haryana,37,9154691445,16-02-2023 11:46,436
CUST0006,Radha Modi,Female,radha.modi@hotmail.com,Nandyal,Goa,63,9232645129,16-07-2025 05:31,2351
CUST0007,Hritik Nayar,Male,hritik.nayar@gmail.com,Shimoga,Chhattisgarh,35,9989539049,12-06-2023 02:27,1150
CUST0008,Ekani Bahl,Female,ekani.bahl@hotmail.com,Pudukkottai,Punjab,44,9047454563,03-02-2022 22:20,1851
CUST0009,Lucky Bali,Male,lucky.bali@hotmail.com,Surendranagar Dudhrej,Bihar,35,9204071569,09-05-2024 20:04,1632
CUST0010,Mason Amble,Male,mason.amble@yahoo.com,Malegaon,Nagaland,36,9361592654,17-06-2021 19:41,2124
CUST0011,Neha Manne,Female,neha.manne@hotmail.com,Giridih,Chhattisgarh,34,9152670863,03-02-2022 07:39,757
CUST0012,Shivani Sachar,Female,shivani.sachar@hotmail.com,Phagwara,Gujarat,40,9561132235,10-08-2024 03:39,4740
CUST0013,Ganga Murty,Female,ganga.murty@gmail.com,Buxar,Sikkim,40,9353541643,25-10-2023 20:43,4284
CUST0014,Kashvi Goyal,Female,kashvi.goyal@yahoo.com,Dharmavaram,Himachal Pradesh,58,9816793148,02-10-2021 05:58,1396
CUST0015,Zayan Narain,Male,zayan.narain@gmail.com,Gandhinagar,Tripura,55,9425929677,16-04-2021 02:55,3159
CUST0016,Henry Behl,Male,henry.behl@yahoo.com,Siliguri,Sikkim,52,9051981270,03-07-2022 05:59,4658
CUST0017,Jeet Sidhu,Male,jeet.sidhu@gmail.com,Gandhidham,Nagaland,62,9650442545,12-09-2021 11:17,3554
CUST0018,Tanvi Kulkarni,Female,tanvi.kulkarni@yahoo.com,Thanjavur,Nagaland,59,9103858747,06-10-2021 05:06,2364
CUST0019,Wriddhish Khosla,Male,wriddhish.khosla@yahoo.com,Khora ,Madhya Pradesh,39,9552465850,07-02-2021 02:28,4126
CUST0020,Mohini Bora,Female,mohini.bora@hotmail.com,Thiruvananthapuram,Nagaland,23,9639436857,06-02-2025 12:05,4204
CUST0021,Isaiah Natt,Male,isaiah.natt@gmail.com,Dibrugarh,Andhra Pradesh,34,9436019969,03-08-2025 09:40,1787
CUST0022,Jhalak Gokhale,Female,jhalak.gokhale@yahoo.com,Korba,Jharkhand,34,9668799519,18-09-2025 13:10,257
CUST0023,Kiaan Chand,Male,kiaan.chand@gmail.com,Satara,Kerala,51,9087685633,12-02-2022 15:12,1527
CUST0024,Yadavi Narang,Female,yadavi.narang@yahoo.com,Danapur,Tamil Nadu,26,9080254284,26-01-2021 07:20,3827
CUST0025,Adya Goda,Female,adya.goda@yahoo.com,Anand,Meghalaya,41,9258696360,27-09-2021 06:22,4618
CUST0026,Harita Kade,Female,harita.kade@yahoo.com,Kozhikode,Manipur,60,9913887559,16-09-2022 17:13,4820
CUST0027,Caleb Mahajan,Male,caleb.mahajan@hotmail.com,Saharsa,Bihar,38,9035132391,25-02-2022 17:59,856
CUST0028,Yutika Mander,Female,yutika.mander@gmail.com,Bhatpara,Madhya Pradesh,18,9836629196,07-06-2023 04:14,1300
CUST0029,Yamini Kaul,Female,yamini.kaul@hotmail.com,Naihati,Haryana,48,9133642775,30-10-2021 05:23,2741
